,Symbol,Open,High,Low,Close,Volume,Daily Return
2021-11-02,GS,415.1000,426.1582,412.7900,423.85,2885810,1.715862730981521
2021-11-03,GS,423.1150,424.0000,412.5600,417.9,3542395,-1.4037985136251097
2021-11-04,GS,414.6500,415.9900,403.0280,408.07,3802336,-2.352237377362998
2021-11-05,GS,411.4000,414.4500,406.1000,407.08,2105586,-0.24260543534198042
2021-11-08,GS,409.8900,413.6500,407.9600,408.34,1728354,0.3095214699813331
2021-11-09,GS,406.1100,407.5840,400.0600,405.35,2093873,-0.7322329431356134
2021-11-10,GS,402.3300,405.5500,397.2450,399.12,2243941,-1.5369433822622458
2021-11-11,GS,400.1400,403.7600,398.5100,402.34,1252402,0.8067749047905304
2021-11-12,GS,403.0000,405.1000,399.2000,404.91,1345091,0.6387632350748351
2021-11-15,GS,406.0000,407.3400,403.9149,404.81,1436452,-0.02469684621274615
2021-11-16,GS,403.9100,405.8400,399.0000,403.09,1310951,-0.42489068945925634
2021-11-17,GS,401.8500,402.6500,391.4700,391.55,2926990,-2.862884219405082
2021-11-18,GS,392.3000,393.9202,385.6800,391.37,1848941,-0.04597114033967342
2021-11-19,GS,382.3800,390.2400,381.0400,387.39,2611891,-1.016940491095386
2021-11-22,GS,393.1600,402.4900,390.1800,396.16,3059658,2.263868452980211
2021-11-23,GS,400.2500,406.9559,397.5100,406.34,2405701,2.5696688206785057
2021-11-24,GS,405.0000,407.4800,398.3000,399.19,2186259,-1.7596101786681029
2021-11-26,GS,384.4800,391.7100,382.7150,389.39,2687915,-2.454971316916754
2021-11-29,GS,394.0000,396.3700,382.4500,386.54,2883431,-0.7319140193636109
2021-11-30,GS,383.5300,386.8300,377.2600,380.99,4570434,-1.4358151808351094
2021-12-01,GS,383.8200,390.1600,376.2100,376.48,2477444,-1.1837581038872336
2021-12-02,GS,378.0000,389.0900,376.0300,387.54,3343716,2.9377390565235917
2021-12-03,GS,389.8800,389.8800,379.0300,382.73,2807501,-1.2411622026113456
2021-12-06,GS,388.6700,393.5999,383.4900,389.3,1990217,1.716614845974962
2021-12-07,GS,393.5800,401.7500,393.0600,400.11,2440999,2.776778833804272
2021-12-08,GS,401.2300,401.7100,395.1400,397.32,1635227,-0.6973082402339403
2021-12-09,GS,395.7000,400.1899,393.0000,396.49,2111459,-0.2088996275042776
2021-12-10,GS,398.0000,398.8600,388.6600,391.06,1893761,-1.369517516204699
2021-12-13,GS,391.1900,391.1900,382.6600,384.64,2313256,-1.6416918119981583
2021-12-14,GS,383.5600,392.5000,383.2600,388.82,2788459,1.0867304492512497
2021-12-15,GS,389.5000,391.4000,380.5980,389.91,2802320,0.28033537369478445
2021-12-16,GS,395.1300,399.8400,391.8001,397.37,3578189,1.9132620348285556
2021-12-17,GS,389.2100,393.6700,380.6300,381.8,7067987,-3.9182625764400902
2021-12-20,GS,375.5200,375.6250,366.6500,371.61,3735570,-2.668936616029338
2021-12-21,GS,376.4300,382.0850,374.7600,380.32,2942812,2.3438551169236543
2021-12-22,GS,380.4200,384.0050,379.2650,382.33,1487922,0.5285023138409839
2021-12-23,GS,383.7900,387.6100,383.5700,385.04,1624168,0.7088117594748145
2021-12-27,GS,386.9900,389.1100,385.0001,388.04,1430760,0.7791398296280949
2021-12-28,GS,388.9300,391.3328,386.2350,387.61,1528340,-0.11081331821461982
2021-12-29,GS,387.9700,389.4600,384.4200,386.2,1327800,-0.36376770465158526
2021-12-30,GS,387.7500,389.7799,385.1950,385.52,1160146,-0.17607457276023197
2021-12-31,GS,385.0000,387.0000,380.8350,382.55,1589703,-0.7703880473127089
2022-01-03,GS,389.0000,399.3000,387.3400,395.33,3338527,3.340739772578738
2022-01-04,GS,402.2300,410.2800,401.1800,407.48,3916412,3.073381731717806
2022-01-05,GS,409.8000,412.6599,397.8900,398.63,3469627,-2.171885736723278
2022-01-06,GS,401.0000,401.2000,386.4332,396.93,2960923,-0.42646062764969406
2022-01-07,GS,397.6700,400.5500,394.5300,397.51,2360655,0.1461214823772483
2022-01-10,GS,401.3200,404.3700,394.2150,399.17,3009436,0.4175995572438529
2022-01-11,GS,400.2500,403.3400,396.3100,403.05,1737878,0.9720169351404184
2022-01-12,GS,403.2400,404.1200,388.5600,390.31,4157980,-3.1608981515940937
2022-01-13,GS,394.0500,396.8650,389.7500,390.8,2497816,0.12554123645307502
2022-01-14,GS,382.1300,384.3900,375.0000,380.94,4685335,-2.5230296827021492
2022-01-18,GS,360.0400,361.5700,347.2300,354.4,12902571,-6.966976426733873
2022-01-19,GS,358.3400,359.7096,346.3900,347.32,7277110,-1.9977426636568762
2022-01-20,GS,348.9000,357.1799,346.1372,348.1,4599934,0.22457675918461373
2022-01-21,GS,345.5400,348.9900,340.7200,343.91,4904089,-1.2036771042803762
2022-01-24,GS,337.3200,344.0700,326.2300,343.39,6573835,-0.15120234945190658
2022-01-25,GS,337.8600,342.9300,330.9100,341.55,3959335,-0.5358338914936311
2022-01-26,GS,346.6000,350.4800,338.4127,342.68,3745854,0.33084467867077194
2022-01-27,GS,345.6700,348.7700,337.7200,341.03,2577150,-0.48149877436676203
2022-01-28,GS,337.7300,347.1500,333.4500,347.01,3714571,1.7535114212825942
2022-01-31,GS,344.6000,355.2100,343.4400,354.68,3312350,2.2103109420477773
2022-02-01,GS,356.1300,364.5400,354.0500,364.06,3303705,2.6446374196458677
2022-02-02,GS,363.5000,368.5300,357.8300,363.06,2742362,-0.2746799978025627
2022-02-03,GS,362.8200,365.7600,358.1600,358.88,2372885,-1.1513248498870698
2022-02-04,GS,362.1700,370.9500,361.0200,367.6,3762311,2.4297815425769143
2022-02-07,GS,365.4900,371.4700,363.3500,368.15,2635618,0.14961915125135672
2022-02-08,GS,371.0800,372.6500,366.2500,370.1,3422322,0.5296754040472695
2022-02-09,GS,373.0000,376.2800,370.9000,374.53,2250563,1.1969737908673173
2022-02-10,GS,371.7100,377.4000,368.8300,370.57,2406181,-1.057325180893376
2022-02-11,GS,368.5500,374.9000,360.7700,363.06,3142097,-2.0266076584720794
2022-02-14,GS,363.0600,364.2900,357.1813,360.24,2585620,-0.7767311188233372
2022-02-15,GS,364.0900,365.8900,361.3600,363.94,1847145,1.027093049078398
2022-02-16,GS,361.3500,363.0200,356.5308,360.05,2165268,-1.0688575039841663
2022-02-17,GS,358.7800,360.9600,347.8350,349.06,3102380,-3.0523538397444816
2022-02-18,GS,345.5700,350.0000,343.3700,346.04,2910900,-0.8651807712141135
2022-02-22,GS,342.4600,349.0000,341.2000,344.27,2449198,-0.51150156051325
2022-02-23,GS,347.5700,349.2600,339.8200,341.19,2217335,-0.8946466436227318
2022-02-24,GS,328.5700,341.0000,326.9471,340.19,4563974,-0.2930918256689785
2022-02-25,GS,340.1900,350.7000,340.1900,350.12,2980478,2.918957053411342
2022-02-28,GS,340.2500,343.8400,337.5500,341.29,4245655,-2.521992459728084
2022-03-01,GS,337.4000,338.1600,327.0200,328.2,5631495,-3.8354478595915564
2022-03-02,GS,331.6000,338.0000,327.4000,336.38,3469857,2.492382693479578
2022-03-03,GS,338.8700,341.5000,330.1300,333.42,2393694,-0.8799571912717741
2022-03-04,GS,327.0000,330.6600,324.0000,329.67,3294826,-1.1247075760302372
2022-03-07,GS,326.8200,327.7892,320.8500,321.89,3689854,-2.359935693269033
2022-03-08,GS,322.5000,330.5600,318.5500,321.37,3596440,-0.161545869707036
2022-03-09,GS,331.6800,337.4650,330.0300,333.59,3202098,3.8024706724336443
2022-03-10,GS,327.6300,331.8400,324.7600,329.9,2232591,-1.106148265835305
2022-03-11,GS,334.3700,336.6100,326.7100,327.0,2613505,-0.8790542588663186
2022-03-14,GS,329.2100,331.6200,322.9000,324.98,2342374,-0.6177370030580942
2022-03-15,GS,327.0700,331.9000,324.8400,329.16,2140675,1.2862329989537846
2022-03-16,GS,335.0700,341.3300,334.2600,340.76,3468522,3.524122007534314
2022-03-17,GS,337.3700,343.5950,334.9000,343.27,2403730,0.7365888015025135
2022-03-18,GS,338.8700,346.7650,337.3000,345.38,5668002,0.6146764937221549
2022-03-21,GS,345.2600,346.3000,337.1500,339.0,3251306,-1.8472407203659724
2022-03-22,GS,342.2000,346.2400,340.1200,343.01,2791768,1.1828908554572193
2022-03-23,GS,340.0000,340.8300,335.1300,335.61,2196798,-2.15737150520392
2022-03-24,GS,336.4400,337.5000,334.3000,336.23,1944098,0.18473823783557997
2022-03-25,GS,337.4300,341.8300,335.4800,337.49,1573302,0.3747434791660398
2022-03-28,GS,338.1500,338.5000,331.5100,335.3,2182550,-0.6489081157960208
2022-03-29,GS,342.4700,344.0000,336.7300,339.66,2378721,1.300328064419931
2022-03-30,GS,339.0000,339.8550,333.6300,335.59,2650176,-1.1982570806100323
2022-03-31,GS,336.1300,336.5000,330.1000,330.1,2632043,-1.6359247891772566
2022-04-01,GS,333.9300,334.1600,327.5700,330.22,2444790,0.036352620418056425
2022-04-04,GS,330.0000,331.8700,325.8600,328.21,2570807,-0.6086851190115872
2022-04-05,GS,327.3600,329.7400,323.4750,323.96,2530867,-1.294902653788732
2022-04-06,GS,320.0000,320.6150,315.7500,316.26,3151265,-2.3768366464995694
2022-04-07,GS,315.0000,315.8300,308.2000,314.15,3562598,-0.6671725795231787
2022-04-08,GS,313.5800,323.6790,313.0000,321.39,3294183,2.3046315454400723
2022-04-11,GS,320.6100,328.9000,319.0300,320.76,2747725,-0.19602352282274138
2022-04-12,GS,321.6800,327.1200,318.0100,319.78,2365242,-0.30552437959845413
2022-04-13,GS,315.8000,322.6300,314.7200,321.97,3022923,0.6848458315091843
2022-04-14,GS,328.4700,333.0300,319.0305,321.64,5460927,-0.10249402118210904
2022-04-18,GS,320.6500,332.6600,320.6500,329.88,3653413,2.5618704141276094
2022-04-19,GS,330.4700,337.2000,330.4700,335.95,2774844,1.8400630532314777
2022-04-20,GS,338.1000,344.9000,337.5000,341.06,2824581,1.5210596815002253
