,Symbol,Open,High,Low,Close,Volume,Daily Return
2022-03-24,WFC,51.7100,51.8150,50.9050,51.33,19677765,0.4107981220657253
2022-03-25,WFC,51.4700,52.5900,51.4100,52.56,18729936,2.396259497369968
2022-03-28,WFC,52.0300,52.1100,50.7800,51.81,24115385,-1.4269406392694028
2022-03-29,WFC,53.0600,53.3000,51.5230,51.6,20915025,-0.4053271569195105
2022-03-30,WFC,51.5300,51.6800,49.7900,50.11,30913813,-2.887596899224809
2022-03-31,WFC,49.7500,50.4300,48.4300,48.46,31238471,-3.2927559369387294
2022-04-01,WFC,49.2500,49.4700,47.8300,48.71,29989948,0.515889393314084
2022-04-04,WFC,48.4500,48.6600,47.6050,48.46,23817213,-0.5132416341613655
2022-04-05,WFC,47.9100,48.9000,47.7700,48.12,21455367,-0.7016095749071471
2022-04-06,WFC,47.6900,48.0800,47.4000,47.89,26001173,-0.4779717373233572
2022-04-07,WFC,48.1600,48.3000,46.5800,47.74,29486490,-0.3132177907705147
2022-04-08,WFC,48.0000,48.8850,47.9300,48.73,23659786,2.0737327188939947
2022-04-11,WFC,48.9400,50.1900,48.9200,49.33,27040961,1.2312743689718797
2022-04-12,WFC,49.6800,49.9000,48.0000,48.42,25791898,-1.8447192377863297
2022-04-13,WFC,47.5400,48.6200,47.4500,48.54,20645250,0.24783147459725985
2022-04-14,WFC,45.8900,47.8200,45.0300,46.35,65583236,-4.511742892459825
2022-04-18,WFC,46.2200,47.5800,46.1465,47.17,26120864,1.7691477885652729
2022-04-19,WFC,47.3900,48.1850,47.3299,47.83,19753344,1.3991944032223813
2022-04-20,WFC,48.4800,49.3700,48.3200,48.65,23598783,1.714405185030321
2022-04-21,WFC,49.1500,49.4899,47.6000,47.78,19027637,-1.7882836587872486
2022-04-22,WFC,47.6900,47.9200,46.2600,46.34,21676840,-3.013813311008784
2022-04-25,WFC,45.7600,45.9700,44.5300,45.83,30045485,-1.1005610703496038
2022-04-26,WFC,45.1600,45.9969,44.5600,44.58,21445696,-2.7274710888064546
2022-04-27,WFC,44.4100,45.1850,44.1400,44.58,19520852,0.0
2022-04-28,WFC,45.0400,45.3100,44.3100,45.17,17430977,1.3234634365186349
