,Symbol,Open,High,Low,Close,Volume,Daily Return
2021-11-01,MA,335.2500,340.9000,332.8800,334.05,5122241,-0.4381258941344668
2021-11-02,MA,335.1300,335.7700,326.7000,328.48,5358959,-1.6674150576260982
2021-11-03,MA,328.5000,329.5800,323.3400,329.43,3952521,0.2892109108621588
2021-11-04,MA,331.0700,338.6300,329.3300,335.43,4819487,1.8213277479282475
2021-11-05,MA,342.4400,350.1600,341.0000,348.79,7201499,3.9829472617237682
2021-11-08,MA,348.0100,353.1500,347.6600,349.67,3862207,0.2523008113764824
2021-11-09,MA,350.0000,350.2000,339.6500,344.65,4214992,-1.4356393170703918
2021-11-10,MA,350.0960,359.6200,349.5000,357.94,6337083,3.856085884230387
2021-11-11,MA,358.3800,359.6400,352.5700,354.34,4472150,-1.0057551544951693
2021-11-12,MA,356.0600,363.8400,355.9300,363.5,4638239,2.585087768809635
2021-11-15,MA,365.1400,371.1300,360.6600,361.36,4693196,-0.5887207702888531
2021-11-16,MA,364.7700,371.0700,362.0000,369.56,4969009,2.2692052247066608
2021-11-17,MA,359.5800,368.0000,351.2200,359.17,11727269,-2.811451455785252
2021-11-18,MA,360.7300,362.4800,344.5800,348.22,6534921,-3.0486956037530932
2021-11-19,MA,346.0000,346.6500,339.1300,339.72,6957896,-2.440985583826316
2021-11-22,MA,339.8000,341.4800,319.7600,321.3,11380660,-5.422112327799367
2021-11-23,MA,324.9600,329.6900,321.6900,329.0,7118598,2.3965141612200425
2021-11-24,MA,326.9500,340.3570,325.0200,340.0,6414372,3.3434650455927084
2021-11-26,MA,321.5850,326.8700,319.0000,324.17,6613928,-4.655882352941177
2021-11-29,MA,330.0050,331.8200,318.2500,323.01,6362190,-0.3578369374093948
2021-11-30,MA,318.0000,320.7600,310.1100,314.92,10237559,-2.5045664220921915
2021-12-01,MA,320.7800,322.0200,306.0000,306.28,8014842,-2.743553918455499
2021-12-02,MA,309.5900,322.2000,308.9850,320.2,6717594,4.54486091158417
2021-12-03,MA,320.2400,322.6850,314.0000,322.11,4732940,0.5965021861336739
2021-12-06,MA,324.7500,336.7600,322.0000,333.33,6054959,3.4832821085964305
